278 6 5
NTop NFop NCop DDL Nite Nthr 0.5 0.125 0.03125 0.0078125 0.001923125
8 8 0 0 100000 12 0.00419556 0.00192727 0.000801809 0.000807911 0.000787912 
8 8 0 0 100000 10 0.0043066 0.00192263 0.000983814 0.000905255 0.000885866 
68652756 18006000 562878 2 1500 2 9.20516 9.13875 9.1421 9.13846 9.2057 
7634256 2002000 62628 2 500 2 0.338514 0.352575 0.344289 0.344824 0.344079 
90204 20000 20102 2 5000 16 0.619112 0.253992 0.101384 0.0780002 0.0764532 
6002 2000 1001 1 1000 10 0.00556695 0.00240979 0.00127434 0.00125333 0.00119343 
2 2 0 0 1000000 4 0.0279144 0.0138921 0.0142646 0.013941 0.0143608 
420011 160004 20002 1 20000 12 1.07286 0.461032 0.208396 0.200945 0.202279 
105011 40004 5002 1 5000 4 0.0631061 0.0323011 0.0322443 0.0333125 0.0323654 
30518506 8004000 250253 2 1000 10 2.92948 1.38939 0.708109 0.634534 0.641682 
2111 804 102 1 100 14 0.000103162 7.38029e-05 0.000236651 0.000249542 0.000224573 
2111 804 102 1 100 4 7.56105e-05 0.00011919 0.000111796 0.000103402 0.000105002 
0 0 0 0 10000000 12 0.246999 0.111584 0.0473237 0.0449092 0.0447715 
10020206 1000000 1010103 3 100 16 0.824571 0.226352 0.111889 0.0921629 0.0928832 
2 2 0 0 100000 6 0.00359937 0.00164945 0.00115862 0.00110265 0.00108207 
420011 160004 20002 1 20000 14 1.06093 0.491703 0.204615 0.17723 0.179564 
2 2 0 0 100 8 4.39095e-05 8.07322e-05 0.000117427 0.000112107 0.000110026 
90204 20000 20102 2 50000 16 6.02378 2.24259 0.915342 0.811792 0.793969 
190671256 50010000 1563128 2 2500 4 43.2815 22.2476 22.4109 22.9643 22.5205 
122037006 32008000 1000503 2 2000 6 22.3097 11.5664 7.91103 7.91921 7.9166 
8 8 0 0 1000 2 0.000104848 0.000208136 0.00020985 0.000211163 0.00021066 
2 2 0 0 1000000 2 0.0267889 0.0267828 0.0268798 0.026766 0.0268102 
602 200 101 1 100 2 0.000117488 0.000230093 0.000213398 0.000213157 0.000213343 
2 2 0 0 1000000 16 0.030346 0.0122212 0.00502623 0.00434221 0.00415866 
90204 20000 20102 2 50000 8 5.25163 2.68109 1.37282 1.36816 1.40086 
2 2 0 0 100000 16 0.00411396 0.00171525 0.00068429 0.00070298 0.000673044 
80080406 8000000 8040203 3 200 2 10.3688 8.8166 8.92375 8.86118 8.98734 
122037006 32008000 1000503 2 2000 4 22.1601 11.3423 11.4338 11.3869 11.3688 
2 2 0 0 100 16 8.93032e-05 0.000102441 0.0002766 0.000265483 0.000272456 
10020206 1000000 1010103 3 100 14 0.834801 0.268541 0.109983 0.097602 0.0981875 
90204 20000 20102 2 50000 14 5.72705 2.46161 1.09758 0.924715 0.892005 
2 2 0 0 1000000 8 0.0327931 0.0142081 0.0077701 0.00776311 0.00793102 
802 300 101 1 100 10 0.0031861 0.00131902 0.000895249 0.000848912 0.00083384 
2 2 0 0 1000 8 0.000110525 8.67768e-05 0.00023077 0.000207245 0.000181854 
10511 4004 502 1 500 14 0.000876225 0.000432005 0.00029662 0.000307515 0.000284401 
122037006 32008000 1000503 2 2000 16 23.1633 8.88786 3.99097 3.09599 3.18575 
90204 20000 20102 2 100000 8 10.5023 4.58746 2.90748 2.77024 2.76507 
6002 2000 1001 1 1000 14 0.00576335 0.00244286 0.00102588 0.000950867 0.000933447 
802 300 101 1 10000 12 0.246898 0.11569 0.0469591 0.0433328 0.0442627 
60002 20000 10001 1 10000 10 0.443674 0.20421 0.107939 0.0918488 0.0939711 
2 2 0 0 1000 2 9.34634e-05 0.00021079 0.000201451 0.000200055 0.000197898 
2 2 0 0 10000 16 0.000528293 0.000282685 0.000282315 0.00034645 0.000332936 
122037006 32008000 1000503 2 2000 14 22.4119 8.13718 4.47209 3.66525 3.5783 
80080406 8000000 8040203 3 200 12 10.7421 3.73079 1.78513 1.8653 1.86807 
0 0 0 0 10000000 8 0.24849 0.126088 0.0678057 0.0652277 0.0655193 
190671256 50010000 1563128 2 2500 6 43.7466 22.6406 15.5437 15.5643 15.4789 
2 2 0 0 10000 8 0.000577246 0.00030128 0.00031687 0.00028873 0.000288154 
21011 8004 1002 1 1000 4 0.00271234 0.00146044 0.00144533 0.00139072 0.00136607 
122037006 32008000 1000503 2 2000 8 22.6753 11.1559 6.20232 6.20023 6.22971 
2 2 0 0 100 14 8.03754e-05 7.04245e-05 0.000229463 0.000257027 0.000271008 
80080406 8000000 8040203 3 200 16 14.1551 4.60316 1.74903 1.42728 1.44516 
90204 20000 20102 2 50000 10 5.5191 2.20212 1.37095 1.18613 1.16708 
90204 20000 20102 2 10000 2 0.988918 0.989906 0.989 0.989075 0.990277 
90204 20000 20102 2 5000 14 0.59384 0.255655 0.108467 0.0865893 0.0903558 
10020206 1000000 1010103 3 100 4 0.590645 0.313607 0.315013 0.315937 0.313228 
306856 80400 2528 2 100 6 0.00361208 0.00146052 0.00125287 0.00126238 0.0012852 
60002 20000 10001 1 10000 2 0.395713 0.400631 0.399128 0.400905 0.396526 
0 0 0 0 10000000 10 0.24413 0.115513 0.0589887 0.053372 0.0535843 
30518506 8004000 250253 2 1000 2 2.6737 2.78175 2.7283 2.71442 2.7011 
306856 80400 2528 2 100 16 0.00437645 0.00167554 0.000759286 0.000755272 0.000738441 
420011 160004 20002 1 20000 16 1.08793 0.471415 0.175249 0.146571 0.157357 
90204 20000 20102 2 1000 10 0.0993343 0.0424814 0.0246448 0.0219706 0.0229011 
602 200 101 1 100 12 0.000140397 0.000108966 0.000246873 0.000223783 0.000232156 
2 2 0 0 100 12 8.08063e-05 8.85288e-05 0.000227674 0.000215299 0.000219618 
802 300 101 1 10000 10 0.250351 0.112379 0.0609164 0.0510204 0.0517143 
802 300 101 1 100000 14 2.46583 1.04795 0.464718 0.396296 0.389452 
210011 80004 10002 1 10000 4 0.251449 0.129317 0.128317 0.12738 0.128068 
802 300 101 1 100000 4 2.543 1.16351 1.19294 1.16342 1.16311 
2 2 0 0 1000000 12 0.0299133 0.0141387 0.00575768 0.00558799 0.00528949 
8 8 0 0 10000 8 0.000745242 0.000373035 0.000338931 0.000315973 0.000314845 
90204 20000 20102 2 100000 12 11.5424 3.95383 2.18793 2.1022 2.03775 
90204 20000 20102 2 100000 14 11.5457 4.90689 2.2116 1.77434 1.77228 
2 2 0 0 1000 12 0.000125813 9.77152e-05 0.000247001 0.00030604 0.000255024 
90204 20000 20102 2 50000 12 5.6521 1.99197 1.08166 0.989458 1.02496 
60002 20000 10001 1 10000 6 0.421382 0.210773 0.144051 0.146319 0.143683 
90204 20000 20102 2 1000 16 0.112309 0.0435978 0.0174441 0.0147405 0.0146893 
21011 8004 1002 1 1000 6 0.00257023 0.00134615 0.00100594 0.00101332 0.00100637 
2 2 0 0 10000 6 0.000744411 0.000331272 0.000333707 0.000323672 0.000325599 
2 2 0 0 1000 10 0.000115277 7.47744e-05 0.000230503 0.000220219 0.000199174 
802 300 101 1 1000 10 0.0257389 0.0124918 0.00614173 0.00517513 0.00516533 
90204 20000 20102 2 10000 8 1.07276 0.539689 0.2751 0.274568 0.273683 
802 300 101 1 1000 6 0.0249503 0.0120982 0.00841473 0.00854149 0.0085332 
68652756 18006000 562878 2 1500 12 9.59852 4.19307 1.88628 1.76884 1.78418 
21011 8004 1002 1 1000 12 0.00276022 0.00132616 0.000620227 0.000622199 0.000620002 
60002 20000 10001 1 10000 12 0.458201 0.198067 0.0836132 0.0773757 0.0783718 
30518506 8004000 250253 2 1000 16 2.99263 1.42423 0.475002 0.399924 0.390122 
8 8 0 0 10000 14 0.000648832 0.000356292 0.000309469 0.000323686 0.000322219 
